Date,P-1 TMF T/hr,P-2 TMF T/hr,P-3 TMF T/hr,I-1 TMF T/hr,I-2 TMF T/hr,Total_prod_tph,Total_inj_tph
1999-11-21,,338.26425123214256,560.4668137738092,159.97412957105942,639.8965182842377,898.7310650059519,799.8706478552971
1999-11-28,,334.93431857142826,587.0410516666664,164.11161590238086,656.4464636095234,921.9753702380948,820.5580795119043
1999-12-05,,333.10982060119005,611.7920096130948,168.1925257781427,672.7701031125708,944.9018302142848,840.9626288907136
1999-12-12,,333.4942416666663,619.3392364761901,169.60435910942846,678.4174364377138,952.8334781428564,848.0217955471422
1999-12-19,,333.47719408333285,592.6907975238089,164.85790250607124,659.431610024285,926.1679916071416,824.2895125303561
1999-12-26,,341.3751617738093,555.2721110416661,159.60321456115463,638.4128582446185,896.6472728154755,798.0160728057732
2000-01-02,,339.2391246369044,284.6342853214283,111.04946697258322,444.1978678903329,623.8734099583327,555.2473348629161
2000-01-09,,334.5904498869044,83.92193851190471,74.49520513498804,297.98082053995216,418.5123883988091,372.47602567494016
2000-01-16,,337.80749370833297,587.9332502678568,164.78185242776178,659.1274097110471,925.7407439761897,823.9092621388089
2000-01-23,,341.61487872619,577.1692845178566,163.54358105744032,654.1743242297613,918.7841632440466,817.7179052872016
2000-01-30,,363.2623543928567,582.5720304999995,168.35852051092843,673.4340820437137,945.8343848928563,841.7926025546421
2000-02-06,,306.2742248273807,586.7692654523808,158.96174126979756,635.8469650791902,893.0434902797614,794.8087063489877
2000-02-13,,351.31389526785654,587.3121713333329,167.07543985501175,668.301759420047,938.6260666011895,835.3771992750586
2000-02-20,,351.6882442976187,571.1845640952379,164.2713598939285,657.085439575714,922.8728083928565,821.3567994696424
2000-02-27,,347.9020535178567,557.1972956249996,161.10768414742844,644.4307365897138,905.0993491428563,805.5384207371422
2000-03-05,,348.0009435059522,547.584009755952,159.41412168061896,637.6564867224758,895.5849532619042,797.0706084030948
2000-03-12,,349.42711852380916,545.8850621309518,159.36556815654745,637.4622726261898,895.3121806547609,796.8278407827373
2000-03-19,,348.853166178571,539.2507720238092,158.08250100002368,632.3300040000947,888.1039382023802,790.4125050001184
2000-03-26,,353.41033564285686,538.7821825059522,158.81026823048802,635.2410729219521,892.192518148809,794.05134115244
2000-04-02,,353.7348786845236,535.3555323214283,158.25809315905943,633.0323726362377,889.0904110059519,791.2904657952973
2000-04-09,,353.46342520833286,531.7169565416663,157.56210795149985,630.2484318059994,885.1803817499991,787.8105397574993
2000-04-16,,351.2425994226187,529.6396193273807,156.7970349374999,627.1881397499996,880.8822187499993,783.9851746874996
2000-04-23,,351.75880257142813,528.470358553571,156.68079068024988,626.7231627209995,880.2291611249992,783.4039534012494
2000-04-30,,347.3421113392853,526.511555880952,155.54595276520226,622.183811060809,873.8536672202373,777.7297638260113
2000-05-07,,346.623991630952,525.6592024999999,155.26640855530945,621.0656342212378,872.2831941309518,776.3320427765473
2000-05-14,,345.2477559226186,521.2942963988093,154.24448531321417,616.9779412528567,866.5420523214278,771.2224265660708
2000-05-21,,347.28189098809474,522.5424644285711,154.8287352641665,619.314941056666,869.8243554166658,774.1436763208325
2000-05-28,,347.97284992261876,523.581645928571,155.13670026151178,620.5468010460471,871.5544958511897,775.6835013075589
2000-06-04,,343.52211670833316,523.5071594702379,154.33121115978565,617.3248446391426,867.0292761785711,771.6560557989284
2000-06-11,,340.58338483333284,523.3219952321423,153.77515765165458,615.1006306066183,863.9053800654752,768.8757882582729
2000-06-18,,337.83436901785683,523.1472074166662,153.2547206053451,613.0188824213805,860.9815764345232,766.2736030267257
